CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKCIPLA28-NOV-2024,1493.6500000,1493.6500000,1493.6500000,1470.0000000,1489.5500000,1489.5500000,-0.2700000,7505.0000000,3111550.0000000,9574.0000000,4607021412.5000000
FUTSTKCOALINDIA28-NOV-2024,411.0000000,417.0000000,420.6500000,412.1500000,417.4000000,417.4000000,1.5500000,13910.0000000,22610700.0000000,21534.0000000,9426941842.5000000
FUTSTKSBICARD28-NOV-2024,700.2500000,697.5500000,709.2500000,696.1000000,706.9000000,706.9000000,0.9400000,3041.0000000,8347200.0000000,10434.0000000,5881146600.0000000
FUTSTKHDFCBANK28-NOV-2024,1786.5000000,1792.0500000,1817.7500000,1786.1500000,1812.9000000,1812.9000000,1.4700000,36759.0000000,41336350.0000000,75157.0000000,74376650452.5000000
FUTSTKABFRL26-DEC-2024,308.8500000,308.1000000,314.0000000,308.1000000,311.1000000,311.1000000,0.7200000,18572.0000000,9721400.0000000,3739.0000000,3028891450.0000000
FUTSTKCROMPTON28-NOV-2024,407.9000000,407.3500000,409.8500000,402.1000000,408.2500000,408.2500000,0.0800000,1640.0000000,7909200.0000000,4394.0000000,3205341000.0000000
FUTSTKPAGEIND26-DEC-2024,45757.2000000,45905.9000000,45905.9000000,45115.0000000,45257.0000000,45257.0000000,-1.0900000,10019.0000000,79140.0000000,5276.0000000,3585724263.0000000
FUTSTKCANFINHOME28-NOV-2024,822.2500000,822.8000000,835.6000000,816.3500000,828.3500000,828.3500000,0.7400000,602.0000000,1992900.0000000,2044.0000000,1645892722.5000000
FUTSTKINFY28-NOV-2024,1925.3000000,1934.7000000,1941.4000000,1911.3000000,1925.1000000,1925.1000000,-0.0100000,22993.0000000,13765600.0000000,34414.0000000,26531600420.0000000
FUTSTKNATIONALUM26-DEC-2024,246.2700000,244.0000000,245.6300000,240.5600000,243.2700000,243.2700000,-1.2100000,12311.0000000,27701250.0000000,7387.0000000,6740765062.5000000
